EntryID,term,aspect,accession,tax_id
Q5W0B1,GO:0000785,C,Q5W0B1,9606
Q5W0B1,GO:0004842,F,Q5W0B1,9606
Q5W0B1,GO:0051865,P,Q5W0B1,9606
Q5W0B1,GO:0006275,P,Q5W0B1,9606
Q5W0B1,GO:0006513,P,Q5W0B1,9606
Q5W0B1,GO:0003682,F,Q5W0B1,9606
Q5W0B1,GO:0005515,F,Q5W0B1,9606
Q3EC77,GO:0000138,C,Q3EC77,3702
Q3EC77,GO:0005794,C,Q3EC77,3702
Q8IZR5,GO:0005515,F,Q8IZR5,9606
Q8R2Z3,GO:0140900,F,Q8R2Z3,10090
Q8R2Z3,GO:0005254,F,Q8R2Z3,10090
Q8R2Z3,GO:0035429,P,Q8R2Z3,10090
Q8R2Z3,GO:0016323,C,Q8R2Z3,10090
Q8R2Z3,GO:1902358,P,Q8R2Z3,10090
Q8R2Z3,GO:0015701,P,Q8R2Z3,10090
Q8R2Z3,GO:0015705,P,Q8R2Z3,10090
Q8R2Z3,GO:0015706,P,Q8R2Z3,10090
Q8R2Z3,GO:0019532,P,Q8R2Z3,10090
Q8R2Z3,GO:0006590,P,Q8R2Z3,10090
Q8R2Z3,GO:0006821,P,Q8R2Z3,10090
Q8R2Z3,GO:0016020,C,Q8R2Z3,10090
Q8R2Z3,GO:0005253,F,Q8R2Z3,10090
Q8R2Z3,GO:0006820,P,Q8R2Z3,10090
Q8R2Z3,GO:0001696,P,Q8R2Z3,10090
Q8R2Z3,GO:0015106,F,Q8R2Z3,10090
P63027,GO:0008021,C,P63027,9606
P63027,GO:0016079,P,P63027,9606
P63027,GO:0031201,C,P63027,9606
P63027,GO:0006887,P,P63027,9606
P63027,GO:0015031,P,P63027,9606
P63027,GO:0016020,C,P63027,9606
P63027,GO:0031982,C,P63027,9606
P63027,GO:0030136,C,P63027,9606
P63027,GO:0006906,P,P63027,9606
P63027,GO:0005515,F,P63027,9606
P63027,GO:0005886,C,P63027,9606
P63027,GO:0060203,C,P63027,9606
P63027,GO:0061202,C,P63027,9606
P63027,GO:0070083,C,P63027,9606
P63027,GO:0005829,C,P63027,9606
P63027,GO:0030667,C,P63027,9606
P63027,GO:0030669,C,P63027,9606
P63027,GO:0030672,C,P63027,9606
P63027,GO:0043308,P,P63027,9606
P63027,GO:0019905,F,P63027,9606
Q6RSH7,GO:0005515,F,Q6RSH7,9606
P55850,GO:0005576,C,P55850,10090
P55850,GO:0005737,C,P55850,10090
P55850,GO:0005886,C,P55850,10090
P55850,GO:0030057,C,P55850,10090
P55850,GO:0001701,P,P55850,10090
Q03370,GO:0005777,C,Q03370,559292
Q03370,GO:0005778,C,Q03370,559292
Q03370,GO:0005783,C,Q03370,559292
Q03370,GO:0007031,P,Q03370,559292
Q03370,GO:0032581,P,Q03370,559292
Q03370,GO:0005515,F,Q03370,559292
Q96T76,GO:0005654,C,Q96T76,9606
Q96T76,GO:0005829,C,Q96T76,9606
Q8CF25,GO:0001701,P,Q8CF25,10090
Q6PFR5,GO:0005634,C,Q6PFR5,10090
Q6PFR5,GO:0005515,F,Q6PFR5,10090
Q6PFR5,GO:0048026,P,Q6PFR5,10090
Q6PFR5,GO:0042802,F,Q6PFR5,10090
Q21997,GO:0036498,P,Q21997,6239
Q7L5A3,GO:0005634,C,Q7L5A3,9606
Q7L5A3,GO:0005515,F,Q7L5A3,9606
P40616,GO:0005794,C,P40616,9606
E9Q7M2,GO:0006970,P,E9Q7M2,10090
Q6MZP7,GO:0034728,P,Q6MZP7,9606
Q6MZP7,GO:0090571,C,Q6MZP7,9606
Q6MZP7,GO:0001067,F,Q6MZP7,9606
Q6MZP7,GO:0003680,F,Q6MZP7,9606
Q6MZP7,GO:0005654,C,Q6MZP7,9606
Q6MZP7,GO:0005515,F,Q6MZP7,9606
Q9UD71,GO:0005829,C,Q9UD71,9606
Q9UD71,GO:0004862,F,Q9UD71,9606
Q9UD71,GO:0019888,F,Q9UD71,9606
Q9UD71,GO:0005515,F,Q9UD71,9606
Q9UD71,GO:0004864,F,Q9UD71,9606
Q9UD71,GO:0004860,F,Q9UD71,9606
Q9UD71,GO:0007165,P,Q9UD71,9606
Q8IN81,GO:0005515,F,Q8IN81,7227
Q8VYN9,GO:0002238,P,Q8VYN9,3702
Q8VYN9,GO:0009507,C,Q8VYN9,3702
Q8VYN9,GO:0009536,C,Q8VYN9,3702
P40750,GO:0005515,F,P40750,224308
Q9C8J7,GO:0005634,C,Q9C8J7,3702
Q9C8J7,GO:0031490,F,Q9C8J7,3702
Q9C8J7,GO:0009793,P,Q9C8J7,3702
Q9C8J7,GO:0010228,P,Q9C8J7,3702
Q9C8J7,GO:0060776,P,Q9C8J7,3702
Q9C8J7,GO:0048188,C,Q9C8J7,3702
Q9SUI6,GO:0005634,C,Q9SUI6,3702
Q9SUI6,GO:0009507,C,Q9SUI6,3702
Q9SUI6,GO:0009534,C,Q9SUI6,3702
Q9SUI6,GO:0009535,C,Q9SUI6,3702
Q9SUI6,GO:0009579,C,Q9SUI6,3702
Q9VUF8,GO:0005739,C,Q9VUF8,7227
Q9VUF8,GO:0004501,F,Q9VUF8,7227
Q9VUF8,GO:0045456,P,Q9VUF8,7227
Q9VUF8,GO:0035074,P,Q9VUF8,7227
Q9VUF8,GO:0007295,P,Q9VUF8,7227
Q9VUF8,GO:0007298,P,Q9VUF8,7227
Q9VUF8,GO:0007391,P,Q9VUF8,7227
Q9VUF8,GO:0007417,P,Q9VUF8,7227
Q9VUF8,GO:0007494,P,Q9VUF8,7227
Q9VUF8,GO:0008258,P,Q9VUF8,7227
O81027,GO:0005739,C,O81027,3702
O81027,GO:0004419,F,O81027,3702
O81027,GO:0005515,F,O81027,3702
P91124,GO:0005737,C,P91124,6239
P91124,GO:0005794,C,P91124,6239
P91124,GO:0090325,P,P91124,6239
P91124,GO:1990502,P,P91124,6239
P91124,GO:0005515,F,P91124,6239
P91124,GO:0031267,F,P91124,6239
P91124,GO:0046928,P,P91124,6239
P01210,GO:0005515,F,P01210,9606
P40031,GO:0005628,C,P40031,559292
P40031,GO:0005829,C,P40031,559292
P40031,GO:0030437,P,P40031,559292
P40031,GO:0030476,P,P40031,559292
P40031,GO:0032120,P,P40031,559292
Q04418,GO:0005737,C,Q04418,559292
Q04418,GO:0006366,P,Q04418,559292
Q8IXT2,GO:1990837,F,Q8IXT2,9606
P04808,GO:0005179,F,P04808,9606
P04808,GO:0005515,F,P04808,9606
B5ME19,GO:0005515,F,B5ME19,9606
P28331,GO:0005515,F,P28331,9606
P28331,GO:0005739,C,P28331,9606
P60570,GO:0032991,C,P60570,10116
P60570,GO:0005243,F,P60570,10116
P60570,GO:0044877,F,P60570,10116
P60570,GO:0007267,P,P60570,10116
P60570,GO:0005515,F,P60570,10116
P60570,GO:0044325,F,P60570,10116
P60570,GO:0097110,F,P60570,10116
P60570,GO:0002020,F,P60570,10116
P60570,GO:0005198,F,P60570,10116
P60570,GO:0005886,C,P60570,10116
P32621,GO:0005794,C,P32621,559292
P32621,GO:0004382,F,P32621,559292
P32621,GO:0045134,F,P32621,559292
P32621,GO:0006486,P,P32621,559292
Q8N684,GO:0005515,F,Q8N684,9606
C9JRZ8,GO:0016616,F,C9JRZ8,9606
C9JRZ8,GO:0005739,C,C9JRZ8,9606
C9JRZ8,GO:0005829,C,C9JRZ8,9606
C9JRZ8,GO:0004303,F,C9JRZ8,9606
C9JRZ8,GO:0005515,F,C9JRZ8,9606
Q5XJA3,GO:0005737,C,Q5XJA3,7955
Q5XJA3,GO:0005794,C,Q5XJA3,7955
Q5XJA3,GO:0034237,F,Q5XJA3,7955
Q5XJA3,GO:0001757,P,Q5XJA3,7955
Q5XJA3,GO:0010669,P,Q5XJA3,7955
Q15007,GO:0005634,C,Q15007,9606
Q15007,GO:0005654,C,Q15007,9606
Q15007,GO:0016607,C,Q15007,9606
Q15007,GO:0036396,C,Q15007,9606
Q15007,GO:0000381,P,Q15007,9606
Q15007,GO:0042802,F,Q15007,9606
Q15007,GO:0005515,F,Q15007,9606
Q15007,GO:0031965,C,Q15007,9606
Q15007,GO:0006397,P,Q15007,9606
Q86I44,GO:0001891,C,Q86I44,44689
Q86I44,GO:1902351,P,Q86I44,44689
Q86I44,GO:0008270,F,Q86I44,44689
Q86I44,GO:0050766,P,Q86I44,44689
Q86I44,GO:0030866,P,Q86I44,44689
Q86I44,GO:0046847,P,Q86I44,44689
Q86I44,GO:0005515,F,Q86I44,44689
T1RRI5,GO:0102889,F,T1RRI5,1343917
T1RRI5,GO:0016829,F,T1RRI5,1343917
T1RRI5,GO:0010333,F,T1RRI5,1343917
T1RRI5,GO:0034005,F,T1RRI5,1343917
T1RRI5,GO:0010597,P,T1RRI5,1343917
T1RRI5,GO:0051762,P,T1RRI5,1343917
Q05595,GO:0043190,C,Q05595,99287
Q05595,GO:0006824,P,Q05595,99287
Q9M647,GO:0005783,C,Q9M647,3702
A0A7J6KE60,GO:0160211,C,A0A7J6KE60,5811
A0A7J6KE60,GO:1901475,P,A0A7J6KE60,5811
A0A7J6KE60,GO:0003333,P,A0A7J6KE60,5811
A0A7J6KE60,GO:0005515,F,A0A7J6KE60,5811
O14359,GO:0005634,C,O14359,284812
O14359,GO:0005829,C,O14359,284812
P06781,GO:0016020,C,P06781,559292
P06781,GO:0003924,F,P06781,559292
P06781,GO:0030010,P,P06781,559292
P06781,GO:0031505,P,P06781,559292
P06781,GO:0007015,P,P06781,559292
P06781,GO:0007017,P,P06781,559292
P06781,GO:0007264,P,P06781,559292
P06781,GO:0071944,C,P06781,559292
P06781,GO:0005515,F,P06781,559292
C0LGG7,GO:0009506,C,C0LGG7,3702
Q12064,GO:0030437,P,Q12064,559292
Q9LZB8,GO:0005886,C,Q9LZB8,3702
Q9LZB8,GO:0009507,C,Q9LZB8,3702
Q9LZB8,GO:0009941,C,Q9LZB8,3702
Q96PU8,GO:0160089,F,Q96PU8,9606
Q96PU8,GO:0005829,C,Q96PU8,9606
Q96PU8,GO:0010494,C,Q96PU8,9606
Q96PU8,GO:0035198,F,Q96PU8,9606
Q96PU8,GO:2000626,P,Q96PU8,9606
Q96PU8,GO:0016525,P,Q96PU8,9606
Q96PU8,GO:0048255,P,Q96PU8,9606
Q96PU8,GO:0003730,F,Q96PU8,9606
Q96PU8,GO:0005515,F,Q96PU8,9606
P42182,GO:0032297,P,P42182,224308
P42182,GO:0051781,P,P42182,224308
P86728,GO:0005576,C,P86728,109174
P18671,GO:0030246,F,P18671,3490
Q8BZ32,GO:0005634,C,Q8BZ32,10090
Q8BZ32,GO:0003682,F,Q8BZ32,10090
Q8BZ32,GO:0003007,P,Q8BZ32,10090
Q8BZ32,GO:0035630,P,Q8BZ32,10090
Q8BZ32,GO:0030225,P,Q8BZ32,10090
Q8BZ32,GO:0030316,P,Q8BZ32,10090
Q8BZ32,GO:1900159,P,Q8BZ32,10090
Q8BZ32,GO:0048704,P,Q8BZ32,10090
Q8BZ32,GO:0007507,P,Q8BZ32,10090
Q8BZ32,GO:0007512,P,Q8BZ32,10090
Q8BZ32,GO:0045651,P,Q8BZ32,10090
Q8BZ32,GO:0045672,P,Q8BZ32,10090
Q8BZ32,GO:0000122,P,Q8BZ32,10090
Q8BZ32,GO:0005515,F,Q8BZ32,10090
P07998,GO:0004522,F,P07998,9606
P07998,GO:0005515,F,P07998,9606
P07998,GO:0004540,F,P07998,9606
P07998,GO:0070062,C,P07998,9606
F1PZQ5,GO:0001917,C,F1PZQ5,9615
F1PZQ5,GO:0001895,P,F1PZQ5,9615
P11686,GO:0005515,F,P11686,9606
Q61136,GO:0005694,C,Q61136,10090
O43182,GO:0072686,C,O43182,9606
O43182,GO:0005829,C,O43182,9606
Q9WUC4,GO:0043066,P,Q9WUC4,10116
Q9WUC4,GO:0006979,P,Q9WUC4,10116
Q9WUC4,GO:0060003,P,Q9WUC4,10116
